res	var	time	id	start	end	path
monthly	more_precip	historical	04465	19570101	20031231	/monthly/more_precip/historical/monatswerte_RR_04465_19570101_20031231_hist.zip
monthly	more_precip	historical	04466	19470101	20151231	/monthly/more_precip/historical/monatswerte_RR_04466_19470101_20151231_hist.zip
monthly	more_precip	historical	04467	19510101	19731231	/monthly/more_precip/historical/monatswerte_RR_04467_19510101_19731231_hist.zip
monthly	more_precip	historical	04468	18770101	19730731	/monthly/more_precip/historical/monatswerte_RR_04468_18770101_19730731_hist.zip
monthly	more_precip	historical	04469	18940101	20151231	/monthly/more_precip/historical/monatswerte_RR_04469_18940101_20151231_hist.zip
monthly	more_precip	historical	04470	19690601	20011231	/monthly/more_precip/historical/monatswerte_RR_04470_19690601_20011231_hist.zip
monthly	more_precip	historical	04472	19230101	20031231	/monthly/more_precip/historical/monatswerte_RR_04472_19230101_20031231_hist.zip
monthly	more_precip	historical	04473	19010101	20041231	/monthly/more_precip/historical/monatswerte_RR_04473_19010101_20041231_hist.zip
monthly	more_precip	historical	04474	19260101	19731231	/monthly/more_precip/historical/monatswerte_RR_04474_19260101_19731231_hist.zip
monthly	more_precip	historical	04475	19000101	20021231	/monthly/more_precip/historical/monatswerte_RR_04475_19000101_20021231_hist.zip
monthly	more_precip	historical	04476	19510101	20011231	/monthly/more_precip/historical/monatswerte_RR_04476_19510101_20011231_hist.zip
monthly	more_precip	historical	04479	19370101	19850930	/monthly/more_precip/historical/monatswerte_RR_04479_19370101_19850930_hist.zip
monthly	more_precip	historical	04480	18850101	20151231	/monthly/more_precip/historical/monatswerte_RR_04480_18850101_20151231_hist.zip
monthly	more_precip	historical	04481	18910101	19971231	/monthly/more_precip/historical/monatswerte_RR_04481_18910101_19971231_hist.zip
monthly	more_precip	historical	04482	19780101	20151231	/monthly/more_precip/historical/monatswerte_RR_04482_19780101_20151231_hist.zip
monthly	more_precip	historical	04483	19080101	19731231	/monthly/more_precip/historical/monatswerte_RR_04483_19080101_19731231_hist.zip
monthly	more_precip	historical	04484	19590101	19710331	/monthly/more_precip/historical/monatswerte_RR_04484_19590101_19710331_hist.zip
monthly	more_precip	historical	04485	18940101	20151231	/monthly/more_precip/historical/monatswerte_RR_04485_18940101_20151231_hist.zip
